Username,Comment,Timestamp
@johnny_profumo5438,Tom Ford just does bold fragrances well. Awsome video!,2024-06-20 10:51:23
@garrydhaliwal786,"As you’ve said black orchid is great, edt or edp which is more better for man ?",2024-06-20 10:51:28
@scarroll625,Ombre Leather is amazing,2024-06-20 10:51:29
@soultruesk8rlifelong,Dacre is the sole reason I want to try Black Orchid,2024-06-20 10:51:30
@TheDigitalLamb,The Tom Ford for men extreme is discontinued now and really hard to find.,2024-06-20 10:51:30
@bresden,"Good to hear TF for Men Extreme get some love. It’s one of the frags that got me into fragrances. It has zero projection, but I’ve gotten compliments from women who came in close. Still keep a backup bottle. Underrated gem.",2024-06-20 10:51:20
@LeBeautiful,Noir De Noir...so glad to see that one. Would have some of the newer Tom Ford Soleli series here too. I wish for safety for you and every subscriber on here! ,2024-06-20 10:51:21
@fireabend,I think that Michael Jackson also used to wear Black Orchid,2024-06-20 10:51:32
@mo9650,Thank you for this video. I'm a huge Tom Ford fan,2024-06-20 10:51:23
@yand5400,Tom ford woman top 10,2024-06-20 10:51:36
@yungmacks8016,So seductive ,2024-06-20 10:51:37
@JT-rx1eo,"Beau de Jour is my favorite Tom Ford. And it's my #1 favorite ""barbershop"" Fougere out of my barbershop Fougere collection. It's the beauty of those aromatic herbs - rosemary,  basil, mint - blended into the heavy lavender and lavendin that sets it apart from my Penhaligon Sartorial,  TF Fougere D'Argent,  MDCI Invasion Barbare,  YSL Rive Gauche Pour Homme,  etc.",2024-06-20 10:51:28
@SurfersSilver,"You just stating a fact

Out of 10..i already use 3 of them...Black orchid, oud wood, and Tobacco vanille...

Btw, Fucking fabulous seriously smell so good",2024-06-20 10:51:29
@lukeflynn3943,Any other kiwis here?,2024-06-20 10:51:36
@Badmintonbyshreyans,What about ombre leather,2024-06-20 10:51:31
@marianneibrahim6420,Could you please do a similar TF video for women? ️,2024-06-20 10:51:29
@goldenbey913,love it!! thank you,2024-06-20 10:51:28
@phillipsamuels6719,Love oud wood,2024-06-20 10:51:31
@barrondna2894,What you think about Gant Adventure ?,2024-06-20 10:51:30
@HoaNguyen-xd3ys,"very helpful for my new buy, thanks Demi <3",2024-06-20 10:51:23
@michalsindelka9867,I would love to see Top 5 Amouage or Roja,2024-06-20 10:51:29
@Criglet7,Tom Foir Noir EDP in the black bottle is good.,2024-06-20 10:51:29
@MrCanadiansingh,"Tomford makes unique yet mad expensive fragrances
I have tuscan leather, noir, oud wood, tobacco vanille, black orchid and fucking fabulous they are all my favorite",2024-06-20 10:51:29
@ryanstecken7457,"TF noir extreme is happily underrated and not everybody knows him, my signature smell",2024-06-20 10:51:29
@meat_loves_wasabi,Simply love TF Tobacco Oud & Tobacco Oud Intense,2024-06-20 10:51:27
@timothys9288,"I'm a man and I think Shanghai Lily is a masterpiece and the best fragrance Tom Ford made.  It might have been marketed to women, but it's got masculine notes like clove, resins, black pepper, spices, incense and vanilla which I think make it quite unisex.  Also, I love the scent of Lily and couldn't find any other fragrance which had a masculine bend so I could wear a Lily scent....except this one.  Can't believe it got discontinued although it can still be found online in some places until it runs out of stock.   What are your thoughts on a man wearing Shanghai Lily?   It really works for me personally.  And I'm definitely masculine.",2024-06-20 10:51:22
@peterstylianou3827,"Ah My dear
How could you hate Ombre Leather? It’s got me tons of Compliments , plus it’s quite similar to Tuscan?",2024-06-20 10:51:30
@MJM111977,Gotta get my nose on Lavender Extreme.,2024-06-20 10:51:30
@freepaultchoutamotaebalasi9804,"1-Noir de Noir
2-tobacco vanille
3-tobaccou oud
4- oud wood
5-Arabian wood",2024-06-20 10:51:30
@CraftyKrystal,Do the woman's version!,2024-06-20 10:51:30
@user-ep6vr1sw1m,Привет.Очень часто выпускаете ролики.Но смотреть на Вас приятно,2024-06-20 10:51:31
@lucasniehaus2189,"I literally have the same imagination as you when you talked bout Neroli Portofino, white t shirt, yacht, boat chu chu chu  these imaginative description makes the fragrance comes to live on a person! And I really like the idea! I hope you can talk about Top 10 Christian Dior fragrance on men ",2024-06-20 10:51:25
@alexanderrobertking,"So I am in no way saying that people should get creative wearing fragrances to job interviews, but Grey Vetiver works. Like, GV has to be a top 10 formal cologne of all time.",2024-06-20 10:51:30
@Rhino11111111,Tom Ford fragrances are best worn at night  time because they are a bit naughty,2024-06-20 10:51:36
@dylandriscoll7043,Do a Video in College Fragrances!!! Or Seasonal,2024-06-20 10:51:30
@wetstinkysocks,Finally! Someone who doesn’t enjoy Ombre Leather . It might just be the only TF I don’t like. I’d rather point people towards a John Varvatos or CH prive for that Ombre Leather vibe. Good list!,2024-06-20 10:51:28
@rkanmulla6496,Thx alot for the video ,2024-06-20 10:51:28
@ranieremazzilli_,Black orchid is female,2024-06-20 10:51:37
@raphael9197,I got my nose on tom ford metallique. Though it’s labeled for women it’s not too fem for man I thought it was unisex when I smelled it but got home and looked it up and says women on some sites & unisex on others. I think I’m going bk tomorrow to get it. Dillards has buy Tom ford frag and get any bottle of extra tester they have for free. It’ll be over after Saturday.,2024-06-20 10:51:31
@gallo81,"Hey Demi, I really enjoy your reviews and I was expecting a Rose Prick one, did you do one? Did you like it? Greetings from Mexico. Regards",2024-06-20 10:51:26
@blazyeye8814,Do one for roja parfum,2024-06-20 10:51:31
@jornvingerhoets2944,"Nice list thanx
I'm really gonna try the men extreme",2024-06-20 10:51:23
@johnseidl8791,"Thank you for the video. Have been looking to try some new colognes, and I'm somewhat new to Tom Ford. I will be trying the Noir Extreme, mainly from your review of it. How could I not try it lol. I have a question about one of them. I received Tom Ford for Men in a sampler I got a while back, and I really liked it. So is the Tom Ford for men Extreme just a stronger version of this or a different fragrance?",2024-06-20 10:51:24
@Tyler2004durden,"I agree 100% about Tom Ford For Men Extreme. It's my favorite from TF and also on the top of all time favorite fragrances. I'm devastated that it's discontinued, luckily I have two bottles that I'm saving until I die. Estée Lauder needs to bring this back!",2024-06-20 10:51:28
@mamohookah5944,Ombre leather and fucking fabulous are the best,2024-06-20 10:51:31
@alexluke84,"Demi, that video rocks  great list and articulate explamations why you prefer each fragrance, I've enjoyed it a lot ",2024-06-20 10:51:22
@anwarmustafa4914,U were my Netflix during the lockdown ️️️️,2024-06-20 10:51:22
@mileddaaboul4506,"Would love to see a review of amouroud fragrances from ""the perfumers workshop""..",2024-06-20 10:51:30
@wurst719,tom ford for men extreme is absolutely awesome.,2024-06-20 10:51:29
@Marocain487,Hello From Morocco Demy Love Ya🇲🇦,2024-06-20 10:51:30
@DasaScent,I have Tom Ford pour Femme and I love it ,2024-06-20 10:51:21
@lazarostan,"Hi Demi.  
When i smell for the first time a Tom ford fragrance i can say i fell in love. I understood it was something different. So i start with tom ford - tom ford, noir extreme, oud wood, grey vetiver, tuscan leather, fcking fabulous, beau de jour from the private collection which discontinued, but you can find it in better price. My last buying was Soleil Neige from private collection. Check it out. In Europe the private collection is made in USA and the other is made in Switzerland. 
                             Greedings from Greece",2024-06-20 10:51:29
@jci3284,If you are in your 20s do not buy tomford frags it is BOOMER CENTRAL!!,2024-06-20 10:51:38
@jONAThAnBunt1990,If I don't like vanilla smelling fragrances -- should I not buy Tom Ford you think?,2024-06-20 10:51:31
@amandygunns,"I absolutely love the scent of Beau de Jour, I just picked up a small bottle for myself cause I love lavender. But. But. The sillage and lasting power are SO strong & long as to be....kind of intolerable to me. Lol I’m sure that will be good news to people who care about “performance.”",2024-06-20 10:51:29
@markgonzalez6016,Smells like sex? Interesting,2024-06-20 10:51:37
@chriztianjamez,"“You’re on a yacht, on a boat. Noroli Portofino, chchchcchch.” This is why I watch Demi. LOL",2024-06-20 10:51:31
@jake8001,"I watched that episode of Dacre, TF Black Orchid is his signature scent",2024-06-20 10:51:27
@carsandwhisky2002,I spent the time smelling most of the Tom Ford line. Definitely Oud Wood for me.,2024-06-20 10:51:27
@MusicIsOurSavior,I missed you darling <3,2024-06-20 10:51:34
@dexxxhunt,"Mad love Dem,nice video as always  Blessings",2024-06-20 10:51:25
@rafaeltorrezin1855,Love your lists! ️,2024-06-20 10:51:25
@nickvarga463,Ombre Leather 2018 EDP is amazing. Dries down to smooth n soft,2024-06-20 10:51:28
@arsenallakers4158,"Been looking for new perfumes i dont mind the price
It would be great if someone would give me some suggestions 
I use DG light blue,Armani gio,eros versace and Fahrenheit Dior but i really want to change the whole set
I want to buy noir extreme and tobacco vanille but some more suggestions would be welcomed thank",2024-06-20 10:51:30
@sur5notes,"My Best Five  and probably my all time Tom Ford favourite: 

Noir Extreme, F**** Fabulous, Tuscan Leather, Grey Vetiver and Beau de Jour.",2024-06-20 10:51:28
@manosfragos5988,I thought you said noir de noir was better on females,2024-06-20 10:51:32
@jimiola2781,Great video Demi. What are your thoughts on ombré leather? ,2024-06-20 10:51:27
@eyobongnyong3285,"Hi Demi, great video... Do you know anywhere the Tom Ford For Men Extreme can be bought?",2024-06-20 10:51:27
@hamadalrowaie6882,Five stars !!  what do you think of tobaco oud ?,2024-06-20 10:51:28
@jessib4137,I ️ TF!! Can you make a video of top TF for women?,2024-06-20 10:51:29
@thebsr9673,You broke my with Ombre Leather!,2024-06-20 10:51:29
@Rcova84,Black orchid edt I feel like it’s more Manly,2024-06-20 10:51:31
@markbrailsford2849,"I love Black Orchid Demi, women follow me round the supermarket when I wear this! X
Stay safe.",2024-06-20 10:51:29
@pinkpistol2789,"The best and cheap fragnance that smells luxury is no 1 only encre nior and no 2 is versace eros... ... Tom Ford, Creed, de marly all waste of money.",2024-06-20 10:51:37
@noseknowsnonotes6833,"Black Orchid & Noir de Noir are the top 2 for me, so glad that you had those",2024-06-20 10:51:21
@izzyhuppert6562,"I love both Oud Wood and Tuscan Leather. If you can only pick one, which one would you choose?",2024-06-20 10:51:27
@RizztrainingOrder,Don't wear leather!? Smh,2024-06-20 10:51:37
@redking1831,"I have tom ford neroli- I think its amazing for casual daytime summer--- It really doesnt last long and I completey 100% agree with what she said about it.  Also, the fact it doesnt last long is a positive to me, as this frag is ONLY amazing in the daytime. This means you can switch it up for night :)",2024-06-20 10:51:21
@MichaelLopresto,"Thanks for the great video, Demi. Could you please do a video and comment on Tom Ford Tobacco Oud, as a lot of people love it, but it is somewhat polarising. Would be great to have a female perspective!",2024-06-20 10:51:25
@sinzinkayodjamila7382,,2024-06-20 10:51:36
@vision7771000,"Looks like you're getting a tan girl, hot!!!",2024-06-20 10:51:36
@hamodhossain4261,black orchid is a Michael Jackson's main parfum as i remembered .. any way .. i will never choose any parfum that contains oud again .. simply because oud note always like (( ALWAYS )) dominate all the other notes smell in the perfume ( even if its a small amount of oud ) .. i just smell the oud covering up all the other notes .. so almost every perfume i have with oud gets the other ingredients washed out like it doesn't exist .. as if its pure oud fregrance .. and it makes me smell like some dude from a tent in the desert .. i hate it,2024-06-20 10:51:32
